movieNm,naverScore
마지막 황제,9.22
핵소 고지,9.22
천장지구,9.22
파워 오브 원,9.21
빠삐용,9.21
보루토 - 나루토 더 무비,9.21
뚜르: 내 생애 최고의 49일,9.21
빅,9.21
캐치 미 이프 유 캔,9.21
슈퍼소닉,9.21
태극기 휘날리며,9.21
스파이 지니어스,9.21
칼리토,9.21
나비 효과,9.21
테이큰,9.21
오베라는 남자,9.21
프레데터,9.21
크루엘라,9.21
첫 키스만 50번째,9.21
"내 어깨 위 고양이, 밥",9.21
스팅,9.21
대부 2,9.21
스파이더맨: 뉴 유니버스,9.21
스쿨 오브 락,9.21
그린 마일,9.20
어느 가족,9.20
서유기 - 월광보합,9.20
라디오 스타,9.20
어메이징 메리,9.20
눈의 여왕4,9.20
타짜,9.20
내 사랑,9.20
대부 3,9.20
과속스캔들,9.20
시간을 달리는 소녀,9.20
혹성탈출,9.20
해피 투게더,9.20
눈길,9.19
밴디트,9.19
공공의 적,9.19
바이올렛 에버가든 - 영원과 자동 수기 인형 -,9.19
스타 이즈 본,9.19
파수꾼,9.19
"서서평, 천천히 평온하게",9.19
인어 공주,9.19
네고시에이터,9.19
기적,9.19
영웅본색,9.19
"불량소녀, 너를 응원해!",9.19
뻐꾸기 둥지 위로 날아간 새,9.18
킹 오브 프리즘,9.18
어바웃 타임,9.18
아메리칸 히스토리 X,9.18
헤드윅,9.18
톰보이,9.18
뽀로로 극장판 공룡섬 대모험,9.18
플래툰,9.18
모아나,9.17
체인질링,9.17
코치 카터,9.17
흑집사 : 북 오브 더 아틀란틱,9.17
마틸다,9.17
제리 맥과이어,9.17
JFK,9.17
사랑의 블랙홀,9.17
오아시스,9.17
어 퓨 굿 맨,9.17
그래도 내가 하지 않았어,9.17
일 포스티노,9.16
하이 스피드! –프리! 스타팅 데이즈,9.16
바울,9.16
식코,9.16
도망자,9.16
아이,9.16
대부,9.16
하이큐!! 재능과 센스,9.16
가디언즈,9.16
귀향,9.16
파 앤드 어웨이,9.15
마스크,9.15
트와이스랜드,9.15
조조 래빗,9.15
분노의 역류,9.15
이집트 왕자,9.15
비상,9.15
