<<<<<<< HEAD
genreNm,genreCd,movieCd
드라마,1,
액션,2,
스릴러,3,
공포(호러),4,
범죄,5,
판타지,6,
서부극(웨스턴),7,
애니메이션,8,
전쟁,9,
코미디,10,
멜로/로맨스,11,
미스터리,12,
어드벤처,13,
가족,14,
SF,15,
사극,16,
다큐멘터리,17,
뮤지컬,18,
공연,19,
기타,20,
=======
genreNm,genreCd,movieCd
드라마,1,
액션,2,
스릴러,3,
공포(호러),4,
범죄,5,
판타지,6,
서부극(웨스턴),7,
애니메이션,8,
전쟁,9,
코미디,10,
멜로/로맨스,11,
미스터리,12,
어드벤처,13,
가족,14,
SF,15,
사극,16,
다큐멘터리,17,
뮤지컬,18,
공연,19,
기타,20,
>>>>>>> d07ea67bb9b0d7e051ed89cf3d0416b6ea0dc1be
