movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,nationsNm,genreNm,directors_ko,directors_en,actors_ko,actors_en,cast,castEn,watchGradeNm
20110614,"선거, 일본의 경우2","Election, in Japan2",96,2011,,['한국'],['다큐멘터리'],['김지영'],['KIM Ji-young'],[],[],[],[],['']
20136894,살인자,Murderer,75,2013,20140115,['한국'],['스릴러'],['이기욱'],['LEE Ki-wook'],"['마동석', '안도규', '김현수', '박진우', '차성호', '이기욱', '이목원', '황은수', '김영민', '김창희', '김혜나', '박수빈']","['Don LEE', 'AN Do-kyu', 'KIM Hyeon-soo', '', '', 'LEE Ki-wook', 'LEE Mok-won', '', 'KIM Young-min', '', '', '']","['', '', '지수', '태진무리1', '', '택시기사 목소리', '마을주민3', '용호모', '지수 부', '마을주민1', '지수모', '지수부 내연녀']","['', '', '', '', '', '', '', '', '', '', '', '']",['청소년관람불가']
20159702,비스트롱 비네이킷,Be Strong Be Naked,86,,,['한국'],['다큐멘터리'],['박현용'],['PARK Hyun-yong'],[],[],[],[],[]
20159683,리뎀션 송,Redemption Song,92,2014,,['한국'],['범죄'],['이삼칠'],['LEE Sam-chil'],[],[],[],[],[]
20159682,디어 에밀리,Dear Emily,61,2014,,['한국'],"['드라마', '코미디']",['백승빈'],['BAEK Seung-bin'],[],[],[],[],[]
20159681,뉴 키즈 인 타운,New kids in town,93,2012,,['한국'],"['드라마', '코미디']",['곽기봉'],['KWAK Ki-bong'],['강태우'],['KANG Tae-u'],['날라리 '],[''],[]
20133756,서울역,Seoul Station,84,2013,,['한국'],['다큐멘터리'],['배윤호'],['BAE Yoon-ho'],[],[],[],[],[]
20128346,소금의 맛,The Flavor of The Salt,60,2012,,['한국'],['드라마'],['한혜미'],['HAN Hye-mi'],[],[],[],[],['']
20113458,손님1 첫번째 이야기,"Guest 1, The first story",81,2010,20111117,['한국'],"['공포(호러)', '스릴러']",['이상화'],['LEE Sang-hwa'],"['황선환', '신이']","['HWANG Sun-hwan', 'SHIN Yi']","['사내', '']","['', '']",['청소년관람불가']
20139862,숨바꼭질,Hide N Seek,48,2012,,['한국'],"['드라마', '스릴러']",['이한욱'],['LEE Han-wook'],"['유상재', '손강국', '박건아']","['YOO Sang-jae', 'SON Gang-guk', 'PARK Gun-ah']","['', '영호', '김순경 (경찰2)']","['', '', '']",['청소년관람불가']
20138404,아름다운 이별은 없다,There Is No Beautiful Farewell,89,2013,20130822,['한국'],"['스릴러', '공포(호러)']",['이상화'],['LEE Sang-hwa'],['고수현'],[''],[''],[''],['청소년관람불가']
20124053,아리랑 소나타,Arirang Sonata,,2010,,['한국'],['다큐멘터리'],['박범훈'],['PARK Bum-hun'],['김철웅'],['KIM Chul-woong'],[''],[''],[]
20142836,조발기,A Hole in My Head,48,2013,,['한국'],['다큐멘터리'],['정락길'],['CHUNG Lak-kil'],[],[],[],[],[]
20122466,짓,Jit,108,2013,20130925,['한국'],['멜로/로맨스'],['한종훈'],['James Han'],"['서은아', '서태화', '김희정', '장윤경', '류호장', '송대중', '이수희', '손진호', '곽민호']","['SEO Eun-a', 'SEO Tae-hwa', 'KIM Hee-jung', '', '', '', '', 'SOHN Jin-ho', 'KWAK Min-ho']","['', '', '주희', '장례식여2', '파출소 경찰', '흥신소 고객', '장례식여3', '', '연미 오빠']","['', '', '', '', '', '', '', '', '']",['청소년관람불가']
20110311,천녀유혼,A Chinese Fairy Tale,98,2010,20110512,['중국'],"['SF', '판타지', '멜로/로맨스']",['엽위신'],['Wilson Yip'],"['유역비', '고천락']","['Yifei Liu', 'Louis Koo']","['섭소천', '연적하']","['', '']",['12세이상관람가']
