movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,nationsNm,genreNm,directors_ko,directors_en,actors_ko,actors_en,cast,castEn,watchGradeNm
20051192,의신의귀,The Ghost Inside,100,2005,,['홍콩'],['공포(호러)'],['구예도'],['Herman Yau'],"['서희원', '유엽']","['Barbie Hsu', 'Ye Liu']","['', '']","['', '']",[]
20051177,윌리엄 이글스톤 인 더 리얼 월드,William Eggleston In The Real World,86,2005,,['미국'],['다큐멘터리'],['마이클 알메레이다'],['Michael Almereyda'],['윌리엄 J. 이글스톤'],['William J. Eggleston'],[''],[''],[]
20051196,쌍자,Futago,90,2005,,['홍콩'],['공포(호러)'],['풍원문'],['Yuen Man Fung'],"['하화초', '시라타 히사코']","['Tony Ho', 'Hisako Shirata']","['', '']","['', '']",[]
20051197,상하이 드림,Shanghai Dreams,123,2005,,['중국'],['드라마'],['왕소수'],['Xiaoshuai Wang'],"['고원원', '이빈']","['Yuanyuan Gao', 'Bin Li']","['', '']","['', '']",[]
20051176,비즈니스,The Business,97,2005,,['영국'],"['스릴러', '드라마']",['닉 러브'],['Nick Love'],"['대니 디어', '타머 하산', '제프 벨']","['Danny Dyer', 'Tamer Hassan', 'Geoff Bell']","['', '', '']","['', '', '']",[]
20051201,빙 사이러스,Being Cyrus,90,2005,,['인도'],"['코미디', '드라마', '스릴러']",['호미 아다자니아'],['Homi Adajania'],"['나세루딘 샤', '세프 알리 칸', '딤플 카파디아']","['Naseeruddin Shah', 'Saif Ali Khan', 'Dimple Kapadia']","['', '', '']","['', '', '']",[]
20051188,멜리사 P.,Melissa P.,100,2005,,"['이탈리아', '스페인']",['드라마'],['루카 구아다그니노'],['Luca Guadagnino'],"['마리아 발베르드', '피에르 조르지오 벨로키오']","['Maria Valverde', 'Pier Giorgio Bellocchio']","['', '']","['', '']",[]
20136793,로니,Roni,20,2013,,['한국'],['드라마'],['이혜연'],['LEE Hye-yeon'],[],[],[],[],['']
20129096,푸셔: 파이널 프로젝트,Pusher,89,2012,20131204,['영국'],"['범죄', '스릴러']",['루이스 프리에토'],['Luis Prieto'],['리차드 코일'],['Richard Coyle'],['프랭크'],[''],['청소년관람불가']
20136796,우산,Umbrella,9,2013,,['한국'],['드라마'],['김세현'],['KIM Se-hyun'],[],[],[],[],['']
20051204,마을 사진첩,The Village Album,111,2005,,['일본'],['드라마'],['미하라 미츠히로'],['Mitsuhiro Mihara'],"['후지 타츠야', '카이토 켄', '미야지 마오']","['Tatsuya Fuji', 'Ken Kaito', 'Mao Miyaji']","['', '', '']","['', '', '']",[]
20051199,리틀 피쉬,Little Fish,114,2005,,['호주'],"['범죄', '멜로/로맨스']",['로완 우즈'],['Rowan Woods'],"['케이트 블란쳇', '샘 닐', '휴고 위빙']","['Cate Blanchett', 'Sam Neill', 'Hugo Weaving']","['', '', '']","['', '', '']",[]
20051208,디솔레이션 사운드,Desolation Sound,101,2005,,['캐나다'],['드라마'],['스콧 웨버'],['Scott Weber'],"['에밀리 허스트', '헬렌 조이', '이안 트레이시']","['Emily Hirst', 'Helene Joy', 'Ian Tracey']","['', '', '']","['', '', '']",[]
20051202,그리젤버스,De Griezelbus,96,2005,,['네덜란드'],"['어드벤처', '판타지', '공포(호러)']",['피터 쿠이퍼스'],['Pieter Kuijpers'],"['세르지 프라이스', '리사 스밋']","['Serge Price', 'Lisa Smit']","['', '']","['', '']",[]
20136794,고향친구,Fish Out of Water,28,2013,,['한국'],"['드라마', '판타지', '코미디']",['홍성윤'],['HONG Seong-yoon'],['박철민'],['PARK Cheol-min'],['생선'],['fish'],['']
20131782,오늘의 저녁,Dinner,14,2013,,['한국'],"['SF', '드라마']",['심현석'],['SHIM Hyun-seok'],['정인기'],['JUNG In-gi'],['성민'],[''],['']
20051191,둑 길,Dam Street,93,2005,,['중국'],['드라마'],['리 위'],['Yu Li'],"['황흥요', '이극순']","['Xingrao Huang', 'Kechun Li']","['', '']","['', '']",[]
20051195,단신일월추,Love Message,104,2005,,['중국'],['멜로/로맨스'],['아감'],['Agan'],"['고거기', '섭원', '장소함']","['Leo Ku', 'Yuan Nie', 'Angela Chang']","['', '', '']","['', '', '']",[]
20051205,니나의 여행,Ninas Resa,120,2005,,"['폴란드', '스웨덴']",['드라마'],['레나 에인혼'],['Lena Einhorn'],"['아그니에슈카 그로호브스카', '마리아 크와리보그', '안제이 브셰스키']","['Agnieszka Grochowska', 'Maria Chwalibog', 'Andrzej Brzeski']","['', '', '']","['', '', '']",[]
20051189,네크로맨서,Necromancer,118,2005,,['태국'],"['판타지', '공포(호러)']",['피야판 추펫치'],['Piyapan Choopetch'],"['아카라 아마타야쿨', '차카이 플렝파니치']","['Akara Amarttayakul', 'Chatchai Plengpanich']","['', '']","['', '']",[]
20136780,돼지의 눈,In a pig's eye,10,2010,,['일본'],['애니메이션'],['와다 아츠시'],['Atsushi Wada'],[],[],[],[],[]
20051223,B.T.K. 킬러,B.T.K. Killer,82,2005,,['미국'],['스릴러'],['울리 롬멜'],['Ulli Lommel'],"['제라드 그리스바움', '에릭 겔레만']","['Gerard Griesbaum', 'Eric Gerleman']","['', '']","['', '']",[]
20051221,히트 미,Hit Me,80,2005,,['미국'],"['범죄', '스릴러']",['마이클 키니'],['Michael Kinney'],['맥스 허홀즈'],['Max Herholz'],[''],[''],[]
20051233,하우스 오브 데드 2,House Of The Dead 2,95,2005,,['미국'],"['액션', '공포(호러)']",['마이클 허스트'],['Michael Hurst'],"['엠마누엘 보기어', '에드 퀸', '스틱키 핑가즈']","['Emmanuelle Vaugier', 'Ed Quinn', 'Sticky Fingaz']","['', '', '']","['', '', '']",[]
20122448,풍선껌 소년,A Gum Boy,4,2010,,['일본'],['애니메이션'],['오쿠다 마사키'],['Masaki Okuda'],[],[],[],[],[]
20051230,하복,Havoc,85,2005,,"['미국', '독일']","['범죄', '드라마']",['바바라 코플'],['Barbara Kopple'],"['앤 해서웨이', '비주 필립스', '쉬리 애플비']","['Anne Hathaway', 'Bijou Phillips', 'Shiri Appleby']","['', '', '']","['', '', '']",[]
20051240,하드 캔디,Hard Candy,104,2005,,['미국'],"['드라마', '스릴러']",['데이빗 슬레이드'],['David Slade'],"['패트릭 윌슨', '엘렌 페이지', '산드라 오']","['Patrick Wilson', 'Ellen Page', 'Sandra Oh']","['', '', '']","['', '', '']",[]
20051212,프린세사스,Princesas,113,2005,,['스페인'],['드라마'],['페르난도 레온 데 아라노아'],['Fernando Leon De Aranoa'],"['칸델라 페냐', '미카엘라 네바레즈']","['Candela Pena', 'Micaela Nevarez']","['', '']","['', '']",[]
20051236,프레이,Pray,77,2005,,['일본'],['스릴러'],['사토 유이치'],['Yuichi Sato'],"['코바야시 카츠야', '코히나타 후미요', '미즈카와 아사미', '타마야마 테츠지']","['Katsuya Kobayashi', 'Fumiyo Kohinata', 'Asami Mizukawa', 'Tetsuji Tamayama']","['', '', '', '']","['', '', '', '']",[]
20101245,시선 너머,If You Were Me 5,144,2010,20110428,['한국'],['드라마'],"['강이관', '윤성현', '신동일']","['KANG Yi-kwan', 'YOON Sung-hyun', 'SHIN Dong-il']","['김현주', '박준영', '박혁권', '심이영', '서옥별', '임종윤', '정재웅', '이정은', '김소숙', '유하준', '강민영', '송진열', '김지은', '박미현', '김태훈']","['KIM Hyun-joo', 'PARK Joon-young', 'PARK Hyuk-kwon', 'SHIM Yi-young', 'SEO Ok-byel', 'LIM Jong-yun', 'JUNG Jae-woong', 'LEE Jung-eun', 'KIM So-sook', 'YU Ha-june', '', 'SONG Jin-yeol', 'KIM Ji-eun', 'PARK Mi-hyen', 'KIM Tae-hun']","['', '', '', '', '', '수사관', '', '', '', '', '카페손님', '특별출연', '학생들', 'seg. 이빨 두 개', 'seg. 진실을 위하여']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",['12세이상관람가']
20110304,아침 식탁,The Breakfast Table,8,2010,,['한국'],"['애니메이션', '드라마']",['김채현'],['KIM Chae-hyun'],[],[],[],[],['전체관람가']
20058579,허스토리,Herstory,6,2005,,['한국'],['애니메이션'],"['김영진', '김혜숙', '이윤미', '전승훈']","['KIM Young-jin', 'KIM Hey-suk', 'LEE Yoon-Mi', 'JEON Seung-hoon']",[],[],[],[],[]
20058319,"제1막,2장","The Act 1, Chapter 2",6,2005,,['한국'],['애니메이션'],['조윤주'],['CHO Yun-ju'],[],[],[],[],['15세이상관람가']
20060632,교차로,Crossroads,6,2002,,['한국'],"['애니메이션', '멜로/로맨스']","['장동혁', '손효석', '김창후', '민상식', '장석조']","['JANG Dong-hyuck', 'SOHN Hyo-seok', 'KIM Chang-hu', 'MIN Sang-sik', 'JANG Seok-jo']",[],[],[],[],['전체관람가']
20060748,Sunya,Sunya,5,2002,,['한국'],['애니메이션'],"['조상석', '이현정', '이현주', '정인희']","['CHO Sang-seok', 'LEE Hyeon-jeong', 'LEE Hyeon-ju', 'JEONG In-hee']",[],[],[],[],['전체관람가']
20122380,알터레이트,Aalterate,10,2012,,"['프랑스', '네덜란드']","['애니메이션', '판타지']",['크리스토발 드 올리베이라'],['Christobal de Oliveira'],[],[],[],[],[]
20136715,칼리토폴리스,Carlitopolis,3,2005,,['프랑스'],['애니메이션'],['루이 니에토'],['Luis Nieto'],[],[],[],[],[]
20136712,헤럴드,Harald,6,2013,,['독일'],['애니메이션'],['모리츠 슈나이더'],['Moritz Schneider'],[],[],[],[],[]
20136711,켈러킨드,Kellerkind,10,2012,,['독일'],['애니메이션'],['줄리아 오커'],['Julia Ocker'],[],[],[],[],[]
20122406,영웅 엥겔베르트 돌푸스,Heldenkanzler,12,2011,,['독일'],"['애니메이션', '다큐멘터리']",['벤자민 슈비친스키'],['Benjamin Swiczinsky'],[],[],[],[],[]
20111644,모빌,Mobile,6,2010,,['독일'],"['애니메이션', '코미디', '드라마']",['베레나 펠스'],['Verena Fels'],[],[],[],[],['전체관람가']
20111642,거대한 덫,Loom,6,2010,,['독일'],['애니메이션'],"['얀 비쳐', '일리야 브룬크']","['Jan Bitzer', 'Ilija Brunck']",[],[],[],[],[]
20122415,한 겨울 이야기,Heart of Winter,7,2012,,['스위스'],['애니메이션'],['이사벨 파베즈'],['Isabelle Favez'],[],[],[],[],[]
20136708,믹스드 백,Mixed Bag,7,2009,,['스위스'],['애니메이션'],['이사벨 파베즈'],['Isabelle Favez'],[],[],[],[],[]
20136707,애플 파이,Apple Pie,10,2006,,['스위스'],['애니메이션'],['이사벨 파베즈'],['Isabelle Favez'],[],[],[],[],[]
20136706,서킷 마린,Circuit Marine,7,2003,,['스위스'],['애니메이션'],['이사벨 파베즈'],['Isabelle Favez'],[],[],[],[],[]
20136705,전선 위의 곡예사,Les Voltigeurs,6,2002,,['스위스'],['애니메이션'],['이사벨 파베즈'],['Isabelle Favez'],[],[],[],[],[]
20136095,현수 이야기,Hyun Soo Story,90,2013,,['한국'],['드라마'],['임창재'],['LIM Chang-jae'],['이유미'],['LEE Yu-mi'],[''],[''],[]
20138182,V/H/S:죽음을 부르는 비디오,V/H/S,112,2013,20130502,['미국'],"['공포(호러)', '스릴러']","['데이빗 브룩크너', '글렌 맥퀘이드', '조 스완버그', '라디오 사일런스', '티 웨스트', '아담 윈가드']","['David Bruckner', 'Glenn McQuaid', 'Joe Swanberg', 'Radio Silence', 'Ti West', 'Adam Wingard']","['캘빈 리더', '한나 피어먼', '아담 윈가드', '조 스완버그']","['Calvin Reeder', 'Hannah Fierman', 'Adam Wingard', 'Joe Swanberg']","['', '', '', '']","['', '', '', '']",['청소년관람불가']
20131724,V/H/S/2: 악마를 부르는 비디오,V/H/S/2,93,2013,20130814,"['미국', '캐나다', '인도네시아']","['공포(호러)', '스릴러']","['가렛 에반스', '아담 윈가드', '에두아르도 산체스', '그렉 헤일']","['Gareth Evans', 'Adam Wingard', 'Eduardo Sanchez', 'Gregg Hale']","['아담 윈가드', '로렌스 마이클 레빈']","['Adam Wingard', 'Lawrence Michael Levine']","['', '']","['', '']",['청소년관람불가']
20136354,카라스: 레블레이션,Karas: The Revelation,85,2007,20131128,['일본'],"['애니메이션', '액션', '판타지']",['사토 케이이치'],['Keiichi Sato'],[],[],[],[],['청소년관람불가']
20136353,분노의 파이터,Brawler,83,2011,20131128,['미국'],"['액션', '드라마']",['크리스 시버트슨'],['Chris Sivertson'],"['펠 제임스', '마이클 보웬']","['Pell James', 'Michael Bowen']","['캣', '렉스 베이커']","['', '']",['청소년관람불가']
20136288,월드 워 좀비,Zombie Apocalypse,87,2011,20131127,"['미국', '영국']","['공포(호러)', '액션']",['닉 라이온'],['Nick Lyon'],"['빙 라메스', '타린 매닝', '조니 파카']","['Ving Rhames', 'Taryn Manning', 'Johnny Pacar']","['', '', '']","['', '', '']",['청소년관람불가']
20121457,크룰릭,Crulic- The Path to Beyond,73,2011,,"['루마니아', '폴란드']","['애니메이션', '다큐멘터리']",['안카 다미안'],['Anca Damian'],[],[],[],[],[]
20135829,수호지-의적유당,All Fight For Justice,98,2009,20131122,['중국'],['액션'],['류신의'],['Xinyi Liu'],['쳉 하오난'],['Zheng Haonan'],[''],[''],['15세이상관람가']
