movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,nationsNm,genreNm,directors_ko,directors_en,actors_ko,actors_en,cast,castEn,watchGradeNm
20171092,루프,Loop,95,2016,,['헝가리'],"['스릴러', 'SF']",['이스티 마리다스'],['Isti Madarasz'],"['데네스 스자라즈', '도리나 마티노빅']","['Denes Szaraz', 'Dorina Martinovics']","['', '']","['', '']",[]
20172792,작은 아씨들,Little Ladies,12,2017,,['한국'],['다큐멘터리'],['노하윤'],['ROH Ha-yun'],[],[],[],[],[]
20172186,더 파이트 클럽,Sparta,86,2016,20170831,['러시아'],"['액션', '드라마']",['니콜라이 쿠드랴쇼프'],['Nikolay Kudryashov'],"['니콜라이 쿠드랴쇼프', '블라디미르 에비판트세프']","['Nikolay Kudryashov', 'Vladimir Epifantsev']","['', '']","['', '']",['15세이상관람가']
20172824,무괴아심,I Will Not be Shy of My Heart,8,2017,,['한국'],['다큐멘터리'],['박희선'],['PARK Hee-sun'],[],[],[],[],[]
20172823,유리,Glass,8,2017,,['한국'],['다큐멘터리'],['신자은'],['SHIN Ja-eun'],[],[],[],[],[]
20172791,고민 들어드립니다,I'm Worried about You,8,2017,,['한국'],['다큐멘터리'],['양주연'],['YANG Joo-yeon'],[],[],[],[],[]
20172790,한방에 둘,Sisters in a Room,9,2017,,['한국'],['다큐멘터리'],['정주연'],['JUNG Joo-yeon'],[],[],[],[],[]
20172806,하야오를 따라서,Following the Hayao,14,2017,,['한국'],['다큐멘터리'],['조원빈'],['JO Won-bin'],[],[],[],[],[]
20172789,한 표의 희비,Joys and Sorrows of One's Life,7,2017,,['한국'],['다큐멘터리'],"['김예슬', '김예린']","['KIM Ye-seul', 'KIM Yea-rin']",[],[],[],[],[]
20172805,"고3, 하고 싶은 것을 한다는 것",Do What I Want to Do,5,2017,,['한국'],['다큐멘터리'],['이택만'],['LEE Taek-man'],[],[],[],[],[]
20172804,노브라 해방기,A Story about Nobra,15,2016,,['한국'],['드라마'],['허윤수'],['HER Yoon-soo'],[],[],[],[],[]
20172803,성익아 공부 좀 하자,"Sung-ik, Let's Study",5,2017,,['한국'],['다큐멘터리'],['손혜민'],['SON Hye-min'],[],[],[],[],[]
20174329,동경소녀,Wandering Girl,29,2016,,['한국'],['드라마'],['박서영'],['PARK Seo-young'],[],[],[],[],[]
20165147,여름의 출구,Out of Now,22,2016,,['한국'],['기타'],['안정연'],['Ahn Jung-yeon'],[],[],[],[],[]
20172780,상승곡선,Going up!,8,2017,,['한국'],['다큐멘터리'],['최솔'],['CHOE Sol'],[],[],[],[],[]
20177483,가을단기방학,Change of the Season,27,2017,,['한국'],"['드라마', '가족']",['정가영'],['JEONG Ga-young'],"['임수현', '전거빈', '손수정', '신재훈', '유단비', '이승현', '이용훈', '이웅석', '최수인']","['', 'JEON Geo-bin', '', '', '', '', '', '', 'CHOI Soo-in']","['민주친구들', '자전거 남학생', '버스 안 승객들', '승민', '친구2', '연주 반 친구들', '공중전화 군인', '관람차 알바생', '']","['', '', '', '', '', '', '', '', '']",[]
20172777,Daily Bliss : 나날의 행복,Daily Bliss,10,2017,,['한국'],['다큐멘터리'],['이서안'],['YI Seo-an'],[],[],[],[],[]
