movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,nationsNm,genreNm,directors_ko,directors_en,actors_ko,actors_en,cast,castEn,watchGradeNm
19991039,사이먼 매거스,Simon Magus,101,1999,,"['영국', '미국', '프랑스', '독일', '이탈리아']","['미스터리', '판타지', '멜로/로맨스']",['벤 홉킨스'],['Ben Hopkins'],"['노아 테일러', '스튜어트 타운젠드', '숀 맥긴리', '엠베스 데이비츠']","['Noah Taylor', 'Stuart Townsend', 'Sean McGinley', 'Embeth Davidtz']","['', '', '', '']","['', '', '', '']",[]
19991017,사샤의 병,La Maladie De Sachs,107,1999,,['프랑스'],['드라마'],['미셀 드빌'],['Michel Deville'],"['알베르 뒤퐁텔', '발레리 드레빌']","['Albert Dupontel', 'Valerie Dreville']","['', '']","['', '']",[]
19991024,사랑의 힘,Love Is Strange,88,1999,,['미국'],['드라마'],['아넷 헤이우드-카터'],['Annette Haywood-Carter'],"['케이트 넬리건', '론 실버', '줄리 해리스']","['Kate Nelligan', 'Ron Silver', 'Julie Harris']","['', '', '']","['', '', '']",[]
19991041,사랑의 선물,A Gift Of Love: The Daniel Huffman Story,94,1999,,['미국'],"['드라마', '가족']",['존 코티'],['John Korty'],"['데비 레이놀즈', '에드 마리나로', '엘든 헨슨']","['Debbie Reynolds', 'Ed Marinaro', 'Elden Henson']","['', '', '']","['', '', '']",[]
19991033,사랑에 관한 35가지 이야기,Diastole y Sistole,75,1999,,['콜롬비아'],"['드라마', '멜로/로맨스']",['해롤드 트롬페테로'],['Harold Trompetero'],"['니콜라스 몬테로', '마르셀라 카바잘']","['Nicolas Montero', 'Marcela Carvajal']","['', '']","['', '']",[]
19991040,빠르거나 느리거나,Tot Ou Tard,100,1999,,['프랑스'],['멜로/로맨스'],['앤-마리 에띠앙'],['Anne-Marie Etienne'],"['필립 토레톤', '아미라 캐사', '로라 델 솔']","['Philippe Torreton', 'Amira Casar', 'Laura del Sol']","['', '', '']","['', '', '']",[]
19991023,빌 다이아몬드,Bill Diamond: Geschichte Eines Augenblicks,91,1999,,"['독일', '스위스', '프랑스']",['판타지'],['볼프강 팬저'],['Wolfgang Panzer'],"['에토르 셀라', '마틴 휴버', '마렉 콘드러트']","['Ettore Cella', 'Martin Huber', 'Marek Kondrat']","['', '', '']","['', '', '']",[]
19991015,빈 방 없음,No Vacancy,85,1999,,['미국'],['코미디'],['마리우스 발커나스'],['Marius Balchunas'],"['크리스티나 리치', '로버트 와그너', '로리타 다비도비치', '티모시 올리펀트']","['Christina Ricci', 'Robert Wagner', 'Lolita Davidovich', 'Timothy Olyphant']","['', '', '', '']","['', '', '', '']",[]
19991031,비욘드 더 맷,Beyond The Mat,102,1999,,['미국'],['다큐멘터리'],['배리 W. 블로스타인'],['Barry W. Blaustein'],"['배리 W. 블로스타인', '빈스 맥마혼']","['Barry W. Blaustein', 'Vince McMahon']","['', '']","['', '']",[]
19991027,비엔나의 북부 지역,Northern Skirts,103,1999,,"['오스트리아 ', '독일', '스위스']",['드라마'],['바바라 알버트'],['Barbara Albert'],"['니나 프롤', '에디타 말로브식', '아스트리드 알리하다라']","['Nina Proll', 'Edita Malovcic', 'Astrit Alihajdaraj']","['', '', '']","['', '', '']",[]
