movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,nationsNm,genreNm,directors_ko,directors_en,actors_ko,actors_en,cast,castEn,watchGradeNm
19990061,침향,Scent Of Love,94,1999,20000610,['한국'],['드라마'],['김수용'],['KIM Soo-yong'],"['이세창', '김호정', '이정현']","['LEE Sae-chang ', 'KIM Ho-jung', 'LEE Jung-hyun']","['한찬우', '진경', '임선희']","['', '', '']",['18세 미만인 자는 관람할 수 없는 등급']
19990072,자귀모(자살한 귀신들의 모임),Ghost In Love,91,1999,19990814,['한국'],"['SF', '공포(호러)']",['이광훈'],['LEE Kwang-hoon'],"['김희선', '조원희', '차승원', '유혜정', '박명희', '정원중', '장세진', '김강일', '박광정', '박지일']","['KIM Hee-seon', 'CHO Won-hee', 'CHA Seoung-won', '', 'Park Myeong-hui', 'JUNG Won-joong', 'JANG Se-jin', 'KIM Kang-il', 'PARK Kwang-jung', 'PARK Ji-il']","['진채별', '영은 남편', '', '백지장', '간호사1 ', '저승사자1', '저승사자 2', '성도착범', '영업 귀신 2', '응급실 의사']","['', '', '', '', '', '', '', '', '', '']",['18세관람가']
19990081,얼굴,Inner Circle,91,1999,19990529,['한국'],"['드라마', '범죄']",['신승수'],['SHIN Seoung-soo'],"['조재현', '김영옥', '전진아', '임하룡']","['CHO Jae-hyun', 'Kim Yeong-ok', 'JEON Jin-a', 'IM Ha-ryong']","['김순경', '', '이소희', '고형석']","['', '', '', '']",['18세 미만인 자는 관람할 수 없는 등급']
20000222,라이드 위드 데블,Ride With The Devil,138,1999,20000826,['미국'],"['드라마', '사극']",['이안'],['Ang Lee'],"['토비 맥과이어', '스킷 울리히']","['Tobey Maguire', 'Skeet Ulrich']","['제이크 로델', '잭 불 찰스']","['', '']",['15세관람가']
20000291,딜리버리,The Delivery,94,1999,20001111,['미국'],"['액션', '코미디', '어드벤처']",['로엘 르네'],['Roel Reine'],"['프레디 더글라스', '페자 반 휴에트']","['Freddy Douglas', 'Fedja van Huet']","['가이', '알프레드 ']","['', '']",['18세관람가']
20000148,디펜스,In Her Defense,96,1998,20000424,"['미국', '캐나다']","['드라마', '스릴러']",['시드니 J. 퓨리'],['Sidney J. Furie'],"['마이클 듀디코프', '말리 매트린']","['Michael Dudikoff', 'Marlee Matlin']","['앤드류 가필드', '제인 클레어']","['', '']",['18세관람가']
20000238,디얼리 디보티드,Devil In The Flesh,90,1998,20000921,['미국'],"['공포(호러)', '범죄', '스릴러']",['스티브 코헨'],['Steve Cohen'],"['알렉스 맥아더', '로즈 맥고완']","['Alex McArthur', 'Rose McGowan']","['피터 리낼디', '데비 스트랜드']","['', '']",['18세관람가']
19990054,세기말,Fin De Siecle,103,1999,19991211,['한국'],"['멜로/로맨스', '드라마']",['송능한'],['SONG Neung-han'],"['김갑수', '이지은', '이상희', '이재은', '차승원', '류태호', '조덕제']","['KIM Kap-soo', 'LEE Ji-eun', 'Lee Sang-hee ', 'LEE Jae-eun', 'CHA Seoung-won', 'RYU Tae-ho', 'JO Duk-je']","['두섭', '', '시간강사 2 역', '소령', '상우', '서 실장', '형사2']","['', '', '', '', '', '', '']",['18세관람가']
19990057,성춘향뎐,The Love Story Of Choon-Hyang,75,1999,19991016,"['한국', '미국']","['멜로/로맨스', '사극', '애니메이션']","['앤디 김', '염우태']","['', '']","['홍시호', '강희선', '강구한']","['', 'GANG Hui-seon', '']","['이몽룡', '성춘향', '변학도']","['', '', '']",['전체관람가']
20000233,두 낫 디스터브,Do Not Disturb,94,2000,20000902,"['미국', '네덜란드']","['액션', '범죄']",['딕 마스'],['Dick Maas'],"['제니퍼 틸리', '윌리엄 허트']","['Jennifer Tilly', 'William Hurt']","['캐서린', '월터']","['', '']",['18세관람가']
19990060,삼양동 정육점,Butcher'S Wife,87,1999,19991127,['한국'],"['멜로/로맨스', '스릴러']",['신정균'],['SHEEN Jeong-kyun'],"['최철호', '이영수', '나경미', '박경환']","['CHOI Cheol-ho', 'LEE Young-soo', 'NA Kyiung-mi ', 'PARK Gyeong-hwan']","['동천', '사내3', '신혜', '상현']","['', '', '', '']",['18세관람가']
19990047,북경반점,The Great Chef,95,1999,19990424,['한국'],['드라마'],['김의석'],['KIM Eui-suk'],"['김석훈', '명세빈', '신구', '정준', '권영락', '기주봉', '김중기', '정명근']","['KIM Suk-hoon', 'MYUNG  Se-bin', 'SHIN Gu', 'JUNG Jun', 'KWON Young-rak', 'KI Joo-bong', 'KIM Jung-ki', 'CHUNG Myung-keun']","['양한국', '한미래', '한사장', '택중', '', '40대 사내', '창원', '나이트클럽 손님2']","['', '', '', '', '', '', '', '']",['12세 미만인 자는 관람할 수 없는 등급']
19990066,러브(LOVE),Love,99,1999,19990918,['한국'],"['멜로/로맨스', '드라마']",['이장수'],['LEE Jang-soo'],"['정우성', '고소영', '이범수', '박철']","['JUNG Woo-sung', 'KO So-young', 'LEE Beom-su', 'PARK Chul']","['명수', '제니', '경철', '브레드']","['', '', '', '']",['12세관람가']
19990063,댄스댄스,Dance Dance,95,1999,19990918,['한국'],['멜로/로맨스'],['문성욱'],['MOON Sung-wook'],"['주진모', '황인영', '주원성', '윤기원']","['JOO Jin-mo', 'HWANG In-young', 'Ju Won-seong ', 'YOON Ki-won']","['준영', '진아', '재현', '기철']","['', '', '', '']",['12세관람가']
