movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,nationsNm,genreNm,directors_ko,directors_en,actors_ko,actors_en,cast,castEn,watchGradeNm
20159110,피싱,The Phishing,39,2012,,['한국'],['스릴러'],['박해준'],['Park Hae-jun'],[],[],[],[],['']
20159109,페라리 키 사와아리,Ferrari Ki Sawaari,,2012,,['인도'],['가족'],['라제쉬 마푸스카르'],['Rajesh Mapuskar'],"['셔먼 조쉬', '보만 이라니']","['Sharman Joshi', 'Boman Irani']","['', '']","['', '']",['']
20159108,파이어 트위스터,Fire Twister,85,2015,,['미국'],['액션'],['조지 에쉬버머'],['George Erschbamer'],[],[],[],[],['15세이상관람가']
20159107,트루 스토리,True Story,99,2015,,['미국'],"['미스터리', '스릴러']",['루퍼트 굴드'],['Rupert Goold'],"['제임스 프랭코', '펠리시티 존스', '조나 힐']","['James Franco', 'Felicity Jones', 'Jonah Hill']","['', '', '']","['', '', '']",['15세이상관람가']
20159106,투곤,Toogon,8,2012,,['한국'],['애니메이션'],['권용진'],[''],[],[],[],[],[]
20159105,컴온 드라이버,Challo Driver,,2012,,['인도'],['코미디'],['비크란트 마하잔'],['Vickrant Mahajan'],['비크란트 마하잔'],['Vickrant Mahajan'],[''],[''],['']
20159104,핫 퍼슈트,Hot Pursuit,87,2015,,['미국'],"['스릴러', '코미디']",['앤 플레쳐'],['Anne Fletcher'],"['리즈 위더스푼', '소피아 베르가라']","['Reese Witherspoon', 'Sofia Vergara']","['쿠퍼 역', '다니엘라 리바 역']","['', '']",['']
20159100,휴먼,Insan,141,2005,,['인도'],"['액션', '범죄', '드라마']",['K. 수브하쉬'],['K. Subhash'],"['아크샤이 쿠마르', '아제이 데브건']","['Akshay Kumar', 'Ajay Devgan']","['', '']","['', '']",['']
20159099,차르 딘 키 찬드니,Chaar Din Ki Chandni,102,2012,,['인도'],"['코미디', '멜로/로맨스']",['사미르 카르닉'],['Samir Karnik'],['아누팜 커'],['Anupam Kher'],[''],[''],['']
20159098,죽이는 하루,A Day on the Roof,21,2011,,['한국'],['드라마'],['김성무'],['KIM Sung-moo'],[],[],[],[],['']
20159097,최후의 인류,Extinction,113,2015,,"['스페인', '헝가리']","['드라마', '공포(호러)', 'SF']",['미겔 앙헬 비바스'],['Miguel Angel Vivas'],"['매튜 폭스', '제프리 도노반', '클라라 라고']","['Matthew Fox', 'Jeffrey Donovan ', 'Clara Lago']","['', '', '']","['', '', '']",['청소년관람불가']
20159094,웨이스트랜드: 좀비의 도시,Wasteland,92,2013,,['영국'],"['드라마', '공포(호러)']",['톰 와드로'],['Tom Wadlow'],['마크 드레이크'],['Mark Drake'],[''],[''],['']
20159093,얼어붙은 문명,Air,94,2015,,['미국'],"['SF', '스릴러']",['크리스천 캔타메사'],['Christian Cantamessa'],"['노먼 리더스', '디몬 하운수', '샌드린 홀트']","['Norman Reedus', 'Djimon Hounsou', 'Sandrine Holt']","['바우어 역', '카트라이트 역', '애비 역']","['', '', '']",['']
20159092,앙투라지,Entourage,104,2015,,['미국'],['코미디'],['더그 엘린'],['Doug Ellin'],"['케빈 코놀리', '아드리언 그레니어', '케빈 딜런']","['Kevin Connolly', 'Adrian Grenier', 'Kevin Dillon']","['에릭 역', '빈스 역', '조니 드라마 역']","['', '', '']",['']
20159089,세컨드 서클,The Second Circle,20,2009,,['한국'],['드라마'],['박우기'],[''],[],[],[],[],['']
20159078,고래를 본 날,Encounter on the Sea,28,2009,,['한국'],['드라마'],['권오광'],['KWON Oh-kwang'],[],[],[],[],[]
20159087,블루 칼라 보이즈,Blue Collar Boys,88,2013,,['미국'],['액션'],['마크 니스티코'],['Mark Nistico'],['브루스 커크패트릭'],['Bruce Kirkpatrick'],[''],[''],['']
20159086,보니와 클라이드,Bonnie and Clyde,240,2013,,['미국'],"['범죄', '드라마']",['브루스 베레스포드'],['Bruce Beresford'],"['에밀 허쉬', '홀리데이 그레인저', '사라 힐랜드']","['Emile Hirsch', 'Holliday Grainger', 'Sarah Hyland']","['', '', '']","['', '', '']",['']
20159085,변신 싸움소 바우,Bau,19,2014,,['한국'],['애니메이션'],['송인욱'],['SONG In-uk'],[],[],[],[],['전체관람가']
20050153,목두기 비디오,Mokdugi Video,53,2003,20050715,['한국'],"['미스터리', '스릴러']",['윤준형'],['YUN Jun-hyeong'],"['양아람', '조연호', '이교원', '김상민']","[' ', 'JO Yeon-ho', '', '']","['', '', '커뮤니티운영자', '음향전문가']","['', '', '', '']",['12세관람가']
20159084,배트맨 언리미티드 : 동물적 본능,Batman Unlimited: Animal Instincts,78,2015,,['미국'],"['애니메이션', '액션', '어드벤처']",['부치 루킥'],['Butch Lukic'],"['로저 크레이그 스미스', '크리스 디아만토폴로스']","['Roger Craig Smith', 'Chris Diamantopoulos']","['Batman (voice) ', 'Green Arrow (voice) ']","['', '']",['']
20159083,배트맨 언리미티드 : 괴물의 혼돈,Batman Unlimited: Monster Mayhem,81,2015,,['미국'],"['애니메이션', '액션', '어드벤처']",['부치 루킥'],['Butch Lukic'],"['로저 크레이그 스미스', '크리스 디아만토폴로스']","['Roger Craig Smith', 'Chris Diamantopoulos']","['', '']","['', '']",['']
20159082,디 트레인,The D Train,102,2015,,['미국'],['코미디'],"['앤드류 모겔', '자래드 폴']","['Andrew Mogel', 'Jarrad Paul']","['제임스 마스던', '잭 블랙', '캐서린 한']","['James Marsden', 'Jack Black', 'Kathryn Hahn']","['', '', '']","['', '', '']",['청소년관람불가']
20159080,바운티 호의 반란,The Mutiny of the Bounty,56,1916,,['호주'],"['드라마', '스릴러']",['레이몬드 롱포드'],['Raymond Longford'],['해리 부몽'],['Harry Beaumont'],[''],[''],[]
20159079,몽키 킹덤,Monkey Kingdom,81,2015,,['미국'],['다큐멘터리'],"['마크 린필드', '알래스테어 포더길']","['Mark Linfield', 'Alastair Fothergill, Alastari Fothergill']",['티나 페이'],['Tina Fey'],['내레이터 (목소리) 역'],[''],['']
20157192,슈퍼히어로 어벤져,Avengers Grimm,85,2015,20151112,['미국'],"['액션', '어드벤처', '판타지']",['제레미 M. 인맨'],['Jeremy M. Inman'],"['캐스퍼 반 디엔', '로렌 파킨슨', '루 페리그노']","['Casper Van Dien', 'Lauren Parkinson', 'Lou Ferrigno']","['', '', '']","['', '', '']",['12세이상관람가']
19960043,유리,Yuri,114,1996,19960606,['한국'],['드라마'],['양윤호'],['YANG Yun-ho'],"['박신양', '문영동', '이은정']","['PARK Shin-yang', 'MUN Yeong-dong', 'LEE Eun-jeong']","['', '촛불승', '']","['', '', '']",['연소자관람불가']
20159077,몰 : 데이투킬,Mall,88,2014,20150910,['미국'],['드라마'],['조셉 한'],['Joseph Hahn'],"['카메론 모나한', '지나 거손', '제임스 프레체빌']","['Cameron Monaghan', 'Gina Gershon', 'James Frecheville']","['', '', '']","['', '', '']",['']
20159076,마블원샷: 올 헤일 더 킹,Marvel One-Shot: All Hail the King,14,2014,,['미국'],"['액션', 'SF']",['드류 피어스'],['Drew Pearce'],"['벤 킹슬리', '스쿳 맥네이리']","['Ben Kingsley', 'Scoot McNairy']","['트레버 슬래터리 역', '잭슨 노리스 역']","['', '']",['']
20159075,라지다니 익스프레스,Rajdhani Express,140,2013,,['인도'],"['액션', '드라마', '스릴러']",['아쇼크 코히리'],['Ashok Kohli'],['이쉬라트 알리'],['Ishrat Ali'],[''],[''],['']
20159074,데 다나 단,De Dana Dan,162,2009,,['인도'],['코미디'],['프리야다샨'],['Priyadarshan'],"['아크샤이 쿠마르', '수닐 셰띠', '캐트리나 케이프']","['Akshay Kumar', 'Sunil Shetty', 'Katrina Kaif']","['니틴 방카르 역', '람 미쉬라 역', '안잘리 카까드 역']","['', '', '']",['']
20159073,토이 솔저스,The Toy Soldiers,143,2014,,['미국'],['드라마'],['에릭 피터 칼슨'],['Erik Peter Carlson'],['나자라 타운센드'],['Najarra Townsend'],[''],[''],['']
20159072,"달려라, 홍재","Hong-jae, Run!",10,2011,,['한국'],['드라마'],['유원상'],['YOO Won-sang'],[],[],[],[],['']
20159070,다이어리 오브 어 버터플라이,Diary of a Butterfly,,2012,,['인도'],['드라마'],['비노드 머크히'],['Vinod Mukhi'],['우디타 고스와미'],['Udita Goswami'],[''],[''],['']
20159066,LK의 죽음,Buddha Mar Gaya,93,2007,,['인도'],['코미디'],['라울 라웨일'],['Rahul Rawail'],"['아누팜 커', '옴 푸리', '모나 엠베가온카르']","['Anupam Kher', 'Om Puri', 'Mona Ambegaonkar']","['', '', '']","['', '', '']",['']
