movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,nationsNm,genreNm,directors_ko,directors_en,actors_ko,actors_en,cast,castEn,watchGradeNm
19728181,11인의 카우보이,The Cowboys,131,1972,19721001,['미국'],"['드라마', '서부극(웨스턴)']",['마크 라이델'],['Mark Rydell'],"['로스코 리 브라운', '존 웨인', '브루스 던']","['Roscoe Lee Browne', 'John Wayne', 'Bruce Dern']","['', '', '']","['', '', '']",['']
20180946,마담 X,Madame X,100,1966,,['미국'],['기타'],['데이비드 로웰 리치'],['David Lowell Rich'],"['라나 터너', '존 포사이스']","['Lana Turner', 'John Forsythe']","['', '']","['', '']",[]
20128470,도둑,Thief,122,1982,,['미국'],['기타'],['마이클 만'],['Michael Mann'],[],[],[],[],[]
20185921,다키스트 마인드,The Darkest Minds,103,2018,,['미국'],"['판타지', '어드벤처']",['여인영'],['Jennifer Yuh'],"['맨디 무어', '그웬돌린 크리스티']","['Mandy Moore', 'Gwendoline Christie']","['', '']","['', '']",['12세이상관람가']
20188961,귀신 이야기,GHOST STORIES,97,2017,,['영국'],['공포(호러)'],"['제레미 다이슨', '앤디 나이맨']","['Jeremy Dyson', 'Andy Nyman']","['앤디 나이맨', '마틴 프리먼']","['Andy Nyman', 'Martin Freeman']","['', '']","['', '']",['15세이상관람가']
20180305,쓰리: 서바이벌 아일랜드,Survival Island,95,2005,,['영국'],"['스릴러', '공포(호러)']",['스튜어트 래필'],['Stewart Raffill'],"['켈리 브룩', '빌리 제인']","['Kelly Brook', 'Billy Zane']","['', '']","['', '']",['청소년관람불가']
20180013,스캔들,NINA,123,2018,,['폴란드'],"['멜로/로맨스', '드라마']",['올가 차즈다스'],['Olga Chajdas'],[],[],[],[],['청소년관람불가']
20189079,미션 이스탄불3: 더 리벤지,Kopfgeld,93,2014,20180815,['독일'],"['범죄', '액션']",['크리스티앙 알바트'],['Christian Alvart'],"['틸 슈바이거', '파리 오군 야르딤', '팀 윌더']","['Til Schweiger', 'Fahri Ogun Yardim', 'Tim Wilde']","['', '', '']","['', '', '']",['15세이상관람가']
20180102,뉴 라이프,New life,89,2016,,['미국'],"['드라마', '가족']",['드류 워터스'],['Drew Waters'],[],[],[],[],['12세이상관람가']
20100055,뭘 또 그렇게까지,Lost & Found,78,2010,20100429,['한국'],"['드라마', '멜로/로맨스', '코미디']",['전계수'],['JEON Kye-soo'],"['이동규', '주민하', '조용준', '조성걸', '최문수', '이규희', '박석영']","['LEE Dong-kyu', 'JU Min-ha', 'JO Yong-jun', '', '', '', 'PARK Suk-young']","['조찬우', '김유정', '이민호', '행위예술가 ', '점성술사 ', '송교수', '카메라맨']","['', '', '', '', '', '', '']",['12세이상관람가']
20070473,러브 인 클라우즈,Head In The Clouds,120,2004,20081231,['호주'],['드라마'],['존 듀이건'],['John Duigan'],"['샤를리즈 테론', '페넬로페 크루즈']","['Charlize Theron', 'Penelope Cruz']","['', '']","['', '']",['15세이상관람가']
20050173,갇힌 여인,The Captive,117,2000,20051223,"['프랑스', '벨기에']",['드라마'],['샹탈 애커만'],['Chantal Akerman'],"['실비 테스튀', '스타니슬라 메하르']","['Sylvie Testud', 'Stanislas Merhar']","['', '']","['', '']",['18세관람가']
20157998,트립 투 잉글랜드,The Trip,111,2010,20151126,['영국'],"['코미디', '드라마']",['마이클 윈터바텀'],['Michael Winterbottom'],"['스티브 쿠건', '롭 브라이든']","['Steve Coogan', 'Rob Brydon']","['', '']","['', '']",['15세이상관람가']
19950264,구름 속의 산책,A Walk In The Clouds,103,1995,19950812,['미국'],['드라마'],['알폰소 아라우'],['Alfonso Arau'],"['아이타나 산체스-기욘', '키아누 리브스', '지안카를로 지아니니', '앤소니 퀸']","['Aitana Sanchez-Gijon', 'Keanu Reeves', 'Giancarlo Giannini', 'Anthony Quinn']","['', '', '', '']","['', '', '', '']",['고등학생이상관람가']
20174964,빛나는,Radiance,101,2017,20171123,"['일본', '프랑스']","['멜로/로맨스', '드라마']",['가와세 나오미'],['KAWASE Naomi'],"['나가세 마사토시', '미사키 아야메']","['Masatoshi Nagase', 'Ayame Misaki']","['', '']","['', '']",['12세이상관람가']
