movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,nationsNm,genreNm,directors_ko,directors_en,actors_ko,actors_en,cast,castEn,watchGradeNm
19930178,오씨,In To The West,101,1993,19930717,['영국'],"['가족', '어드벤처']",['마이크 뉴엘'],[''],"['엘렌 바킨', '가브리엘 번']","['Ellen Barkin', 'Gabriel Byrne']","['', '']","['', '']",['연소자관람가']
19930339,내사랑 돈환,Don Juan Mi Querido Fantosia,97,1993,19930807,['스페인'],['드라마'],['안토니오 메르세오'],[''],['마리아 바란코'],['Maria Barranco'],[''],[''],['연소자관람불가']
19930343,프라하,Pragha,89,1993,19930807,['영국'],['드라마'],['아이언 셀러'],[''],"['알란 커밍', '산드린 보네르']","['', '']","['', '']","['', '']",['고등학생이상관람가']
19930169,부시맨 3-크레이지 홍콩,Bush Man 3 Crazy Hongkong,94,1993,19930710,['홍콩'],['코미디'],['전승위'],['Wellson Chin'],"['니카우', '유청운', '유가령']","['N!xau', 'Ching Wan Lau', 'Carina Lau']","['', '', '']","['', '', '']",['연소자관람가']
19930165,어져스터,The Adjuster,101,1993,19930703,['미국'],['드라마'],['아톰 에코만'],[''],"['엘라스 코티스', '아크시니 칸지안']","['', '']","['', '']","['', '']",['연소자관람불가']
19930376,나이트 비지터,Never Cry Devil-Night Visitor,93,1993,19931122,['미국'],"['스릴러', '드라마']",['루퍼트 히트지그'],[''],"['알렌 가필드', '엘리어트 굴드']","['Allen Garfield', 'Elliott Gould']","['', '']","['', '']",['연소자관람불가']
19930164,비각칠,Kick Boxer,93,1993,19930626,['홍콩'],['액션'],['빙오마'],[''],"['여수능', '원표', '우마']","['Sau-Ling Lui', 'YUEN Biao', 'Ma Wu']","['', '', '']","['', '', '']",['중학생이상관람가']
19930332,메이드 인 아메리카,Made In America,110,1993,19930717,['미국'],"['드라마', '코미디']",['리차드 벤자민'],['Richard Benjamin'],"['테드 댄슨', '우피 골드버그']","['Ted Danson', 'Whoopi Goldberg']","['', '']","['', '']",['고등학생이상관람가']
19930161,슈퍼 마리오,Super Mario Bros,98,1993,19930626,['미국'],"['가족', '액션', '어드벤처', '판타지']","['아나벨 얀켈', '록키 모튼']","['Annabel Jankel', 'Rocky Morton']","['사만다 마티스', '밥 호스킨스']","['Samantha Mathis', 'Bob Hoskins']","['', '']","['', '']",['연소자관람가']
19930168,비지터,Les Visiteurs,102,1993,19930703,['프랑스'],"['코미디', '판타지']",['장 마리 프와레'],['Jean-Marie Poire'],['장 르노'],['Jean Reno'],[''],[''],['연소자관람가']
19940137,쏘피,Sofie,146,1992,19940326,['덴마크'],['드라마'],"['리브 울만', '이브 울만']","['Liv Ullmann', 'Yves Ulmann']","['카렌 리스 민스터', '기타 노비']","['Karen-Lise Mynster ', 'Ghita Norby']","['', '']","['', '']",['고등학생이상관람가']
19930321,재세추혼,Vende Tta,91,1993,19930626,['홍콩'],"['드라마', '액션']",['양소웅'],[''],"['여량위', '정칙사']","['Ray Lui', 'Kent Cheng']","['', '']","['', '']",['고등학생이상관람가']
19930329,아메리칸 닌자 5,American Ninja 5,102,1993,19930710,['미국'],"['액션', '어드벤처', '가족']",['바비 진 레오나르도'],[''],['데이비드 브레들리'],[''],[''],[''],['고등학생이상관람가']
19930306,양들의 반란,Eyes Of The Beholds,89,1993,19930605,['미국'],['스릴러'],['로렌스 사이먼'],[''],"['조안나 파큘라', '매트 맥코이']","['Joanna Pacula', 'Matt Mccoy']","['', '']","['', '']",['연소자관람불가']
19930151,싸베지 나이트,Les Nuits Fauves,110,1993,19930605,['프랑스'],['멜로/로맨스'],['시릴 꼴라르'],['Cyril Collard'],"['로만느 보링거', '시릴 꼴라르']","['Romane Bohringer', 'Cyril Collard']","['', '']","['', '']",['연소자관람불가']
19930206,엄마의 노래,Jack The Bear,98,1993,19930904,['미국'],"['드라마', '코미디']",['마샬 허스코비치'],[''],['대니 드비토'],['Danny DeVito'],[''],[''],['연소자관람가']
