movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,nationsNm,genreNm,directors_ko,directors_en,actors_ko,actors_en,cast,castEn,watchGradeNm
20161544,해커,Hacker,107,2015,,['미국'],"['스릴러', '범죄', '드라마']",['아칸 사타예브'],['Akan Satayev'],"['캘런 맥오리피', '다니엘 에릭 골드']","['Callan McAuliffe', 'Daniel Eric Gold']","['', '']","['', '']",['청소년관람불가']
20162603,풀: 분노의 광기,Pull,105,2015,20161020,['미국'],"['공포(호러)', '스릴러']",['제임스 라이언 개리'],['James Ryan Gary'],['팀 홀트'],['Tim Holt'],['찰스'],['Charles'],['청소년관람불가']
20168769,"티에나: 10,000년 후","Teana: 10,000 Years Later",97,2015,20161020,['중국'],['애니메이션'],['이리'],['Yi Li'],[],[],[],[],['15세이상관람가']
20161201,키즈모노가타리 II : 열혈편,Kizu Monogatari Nekketsuhen,68,2016,20161020,['일본'],"['애니메이션', '드라마', '판타지', '액션']",['신보 아키유키'],['Akiyuki Shinbo'],"['카미야 히로시', '사카모토 마아야', '호리에 유이', '사쿠라이 타카히로']","['Hiroshi Kamiya', 'Maaya Sakamoto', 'Yui Horie', 'Takahiro Sakurai']","['아라라기 코요미', '키스샷 아세롤라오리온 하트 언더 블레이드', '하네카와 츠바사', '오시노 메메']","['', '', '', '']",['15세이상관람가']
20162523,언틸 포에버,UNTIL FOREVER,100,2016,20161020,['미국'],['드라마'],['마이클 린'],['Michael Linn'],[],[],[],[],['12세이상관람가']
20169686,마터스,Martyrs,86,2015,20161020,['미국'],"['공포(호러)', '스릴러']","['케빈 고츠', '마이클 고츠']","['Kevin Goetz', 'Michael Goetz']","['트로이안 벨리사리오', '베일리 노블']","['Troian Bellisario', 'Bailey Noble']","['', '']","['', '']",['청소년관람불가']
20162267,리메인즈,The Remains,92,2016,20161020,['미국'],"['공포(호러)', '스릴러']",['토마스 델라 벨라'],['Thomas Della Bella'],['리사 브레너'],['Lisa Brenner'],[''],[''],['15세이상관람가']
20162266,다이아몬드 하이스트,DIAMOND HEIST,90,2012,20161020,['헝가리'],['코미디'],['로버트 콜타이'],['Robert Koltai'],"['비니 존스', '마이클 매드슨']","['Vinnie Jones', 'Michael Madsen']","['', '']","['', '']",['청소년관람불가']
20166364,니나 포에버,Nina Forever,98,2016,20161020,['영국'],"['멜로/로맨스', '코미디', '공포(호러)']","['벤 블레인', '크리스 블레인']","['Ben BLAINE', 'Chris Blaine']","['피오나 오쇼너시', '데이빗 트로튼']","[""Fiona O'Shaughnessy"", 'David Troughton']","['', '']","['', '']",['청소년관람불가']
20168764,네온 데몬,The Neon Demon,117,2016,20161020,"['프랑스', '미국', '덴마크']","['드라마', '스릴러']",['니콜라스 윈딩 레픈'],['Nicolas Winding Refn'],"['엘르 패닝', '크리스티나 헨드릭스', '키아누 리브스', '지나 말론']","['Elle Fanning', 'Christina Hendricks', 'Keanu Reeves', 'Jena Malone']","['', '', '', '']","['', '', '', '']",['청소년관람불가']
20167210,기억메신저 2033,2033,92,2009,20161020,['멕시코'],"['어드벤처', 'SF']",['프란시스코 라레스고이티'],['Francisco Laresgoiti'],"['라울 멘데즈', '산드라 에체베리아']","['Raul Mendez', 'Sandra Echeverria']","['', '']","['', '']",['15세이상관람가']
20160866,아이엠 어 모델,Paranoid Girls,88,2015,20161020,['스페인'],"['코미디', '드라마', '멜로/로맨스']",['페드로 델 산토'],['Pedro del Santo'],[],[],[],[],['청소년관람불가']
20168563,네이키드 청춘,The Smell Of Us,87,2014,20161018,['프랑스'],['드라마'],['래리 클락'],['Larry Clark'],[],[],[],[],['청소년관람불가']
20058306,허슬 앤 플로우,Hustle & Flow,116,2005,,['미국'],"['범죄', '드라마']",['크레이그 브로워'],['Craig Brewer'],"['테렌스 하워드', '안소니 앤더슨', '루다크리스']","['Terrence Howard', 'Anthony Anderson', 'Ludacris']","['', '', '']","['', '', '']",[]
20162793,브루클린 보헤미안,Brooklyn Boheme,75,2011,,['미국'],['다큐멘터리'],"['넬슨 조지', '다이엔 파라가스']","['Nelson George', 'Diane Paragas']","['스파이크 리', '로지 페레즈', '크리스 록', '사울 윌리암즈']","['Spike Lee', 'Rosie Perez', 'Chris Rock', 'Saul Williams']","['', '', '', '']","['', '', '', '']",[]
20162765,바버샵 3,Barbershop: The Next Cut,111,2016,,['미국'],['코미디'],['말콤 D. 리'],['Malcolm D. Lee'],"['아이스 큐브', '세드릭 더 엔터테이너', '레지나 홀', '안소니 앤더슨', '이브', '숀 패트릭 토마스', '커먼', '가르셀라 보베', '우카쉬 엠부드카', '트로이 가리티', '디레이 데이비스']","['Ice Cube', 'Cedric the Entertainer', 'Regina Hall', 'Anthony Anderson', 'Eve', 'Sean Patrick Thomas', 'Common', 'Garcelle Beauvais', 'Utkarsh Ambudkar', 'Troy Garity', 'DeRay Davis']","['', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '']",[]
20162792,"스트레치 앤 보비토:라디오, 삶을 바꾸다",Stretch & Bobbito:Radio that Changed Lives,99,2015,,['미국'],['다큐멘터리'],['보비토 가르시아'],['Bobbito Garcia'],[],[],[],[],[]
20162791,러블 킹스: 힙합의 탄생,Rubble Kings,71,2010,,['미국'],['다큐멘터리'],['샨 니콜슨'],['Shan Nicholson'],[],[],[],[],[]
20162790,아트 오브 랩,Something from Nothing:The Art of Rap,106,2012,,"['미국', '영국']",['다큐멘터리'],"['아이스 티', '앤디 바이부트']","['Ice-T', 'Andy Baybutt']","['에미넴', '모스 데프', '스눕 독', '아이스 티', 'Dr. 드레', '척 디']","['Eminem', 'Mos Def', 'Snoop Dogg', 'Ice-T Tracy Morrow', 'Dr. Dre', 'Chuck D.']","['', '', '', '', '', '']","['', '', '', '', '', '']",[]
20162789,쉐이크 더 더스트: 세상을 뒤흔든 비보이,Shake the Dust,84,2015,,['미국'],['다큐멘터리'],['아담 스요르베르'],['Adam Sjoberg'],[],[],[],[],[]
20167082,비틀스: 에잇 데이즈 어 위크 – 투어링 이어즈,The Beatles: Eight Days A Week – The Touring Years,137,2016,20161019,"['영국', '미국']","['드라마', '다큐멘터리']",['론 하워드'],['Ron Howard'],"['존 레논', '폴 매카트니', '조지 해리슨', '링고 스타']","['John Lennon', 'Paul McCartney', 'George Harrison', 'Ringo Starr']","['', '', '', '']","['', '', '', '']",['12세이상관람가']
20162788,월 롸이터,Wall Writers,77,2016,,['미국'],['다큐멘터리'],['로저 게스트맨'],['Roger Gastman'],[],[],[],[],[]
20161664,메리 미,Marry Me,93,2015,,['독일'],['코미디'],['닐레샤 바보라'],['Neelesha BaVora'],['파리 오군 야르딤'],['Fahri Ogun Yardim'],[''],[''],['12세이상관람가']
20169028,토마스와 친구들: 용감한 기관차와 괴물소동,Thomas&Friends-Tale of The Brave,60,2016,20161013,['영국'],['애니메이션'],['롭 실베스트리'],['Rob Silvestri'],[],[],[],[],['전체관람가']
20169986,미스터 캣,Nine Lives,86,2016,20161019,"['프랑스', '중국']",['코미디'],['배리 소넨필드'],['Barry Sonnenfeld'],"['케빈 스페이시', '제니퍼 가너', '크리스토퍼 월켄', '말리나 와이즈먼']","['Kevin Spacey', 'Jennifer Garner', 'Christopher Walken', 'Malina Weissman']","['', '', '', '']","['', '', '', '']",['전체관람가']
20168446,사랑이 이끄는 대로,Un Plus Une,114,2015,20160901,['프랑스'],['코미디'],['끌로드 를르슈'],['Claude Lelouch'],"['장 뒤자르댕', '엘자 질버스타인']","['Jean Dujardin', 'Elsa Zylberstein']","['', '']","['', '']",['청소년관람불가']
20160645,립반윙클의 신부: 스페셜 에디션,A Bride for Rip Van Winkle,179,2016,20161013,['일본'],"['드라마', '멜로/로맨스']",['이와이 슌지'],['Shunji Iwai'],"['쿠로키 하루', '아야노 고']","['Haru Kuroki', 'Go Ayano']","['', '']","['', '']",['15세이상관람가']
20160644,인필트레이터 : 잠입자들,The Infiltrator,126,2016,20161006,['미국'],"['범죄', '드라마']",['브래드 퍼맨'],['Brad Furman'],"['브라이언 크랜스톤', '존 레귀자모', '다이앤 크루거', '에이미 라이언', '조셉 길건', '벤자민 브랫', '줄리엣 아브레이', '루벤 오칸디아노', '시몬 앤드류', '세이드 타그마오우이', '엘레나 아나야', '제이슨 아이삭스', '올림피아 듀카키스', '율 바즈케즈', '마크 홀든', '벤틀리 카루']","['Bryan Cranston', 'John Leguizamo', 'Diane Kruger', 'Amy Ryan', 'Joseph Gilgun', 'Benjamin Bratt', 'Juliet Aubrey', 'Ruben Ochandiano', 'Simon Andreu', 'Said Taghmaoui', 'Elena Anaya', 'Jason Isaacs ', 'Olympia Dukakis', 'Yul Vazquez', 'Mark Holden', 'Bentley Kalu']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",['15세이상관람가']
20162764,프레쉬 드레스드,Fresh Dressed,90,2015,,['미국'],['다큐멘터리'],['사샤 젠킨스'],['Sacha Jenkins'],"['데이먼 대쉬', '나스']","['Damon Dash', 'Nas']","['', '']","['', '']",[]
20156007,인페르노,Inferno,121,2016,20161019,"['미국', '일본', '터키', '헝가리']","['미스터리', '스릴러']",['론 하워드'],['Ron Howard'],"['톰 행크스', '펠리시티 존스', '벤 포스터', '이르판 칸', '오마 사이', '시드 바벳 크누센', '안나 울라루']","['Tom Hanks', 'Felicity Jones', 'Ben Foster', 'Irrfan Khan', 'Omar Sy', 'Sidse Babett Knudsen', 'Ana Ularu']","['', '', '', '', '', '', '']","['', '', '', '', '', '', '']",['15세이상관람가']
20160402,얼라이스: 연합군특수부대,ALLIES,93,2014,20161019,['영국'],"['액션', '드라마', '전쟁']",['도미닉 번스'],['Dominic Burns'],"['줄리안 오벤든', '다렌 숀 엔라이트', '크리스레일리']","['Julian Ovenden', 'Darren Sean Enright', 'Chris Reilly']","['', '', '']","['', '', '']",['15세이상관람가']
20162763,배드 랩,Bad Rap,82,2016,,"['미국', '캐나다']",['다큐멘터리'],"['살리마 코로마', '재키 조']","['Salima Koroma', 'jaeki cho']",[],[],[],[],[]
20165802,바탈리온,Battalion,128,2015,20161019,['러시아'],"['전쟁', '액션']",['드미트리 메스히예프'],['Dmitri Meskhiyev'],['마리아 아로노바'],['Mariya Aronova'],[''],[''],['15세이상관람가']
20162739,어글리,Ugly,15,2016,,['프랑스'],['코미디'],['미카엘 코헨'],['COHEN Mickael'],[],[],[],[],[]
19950291,옥보단,Sex And Zen,83,1991,19950923,['홍콩'],"['판타지', '멜로/로맨스']",['맥당걸'],['Michael Mak'],"['오계화', '엽자미', '서금강', '오가려', '주홍']","['Lawrence Ng', 'Amy Yip', 'Elvis Tsui', 'Carrie Ng', 'Isabella Chow']","['', '', '', '', '']","['', '', '', '', '']",['연소자관람불가']
20162736,스푼,Spoon,4,2016,,['독일'],['애니메이션'],['마르쿠스 켐프켄'],['Markus Kempken'],[],[],[],[],[]
20150844,소주와 아이스크림,SOJU & ICE CREAM,36,2015,,['한국'],['드라마'],['이광국'],['LEE Kwang-kuk'],"['백수장', '이승준', '이시온', '이유진']","['PAIK Soo-jang', '', 'LEE Si-on', '']","['주인집 아들', '회사원1', '회사원2', '회사원4']","['', '', '', '']",[]
20161411,자각몽,Lucid Dream,33,2015,,['한국'],"['판타지', '액션']",['권호영'],['GWON Ho-young'],"['권율', '김재영', '서동수', '서동수', '조희경', '이상희', '노수산나', '김형근']","['KWON Yul', 'KIM Jae-young', 'SEO Dong-soo', 'SEO Dong-soo', '', '', 'NOH Su-san-na', '']","['지섭', '준원', '서 박사', '서 박사', '연구원3', '연구원1', '희진', '형근']","['', '', '', '', '', '', '', '']",[]
20161409,치킨게임,Chicken Game,28,2015,,['한국'],['코미디'],['박수영'],['PARK Soo-young'],"['곽시양', '신동미', '김준배']","['KWAK Si-yang', 'SHIN Dong-mi', 'KIM Jun-bae']","['이재원', '조수민', '김태권']","['', '', '']",[]
20163701,보고싶다,I Miss You,114,2015,20160623,['한국'],['드라마'],"['윤재호', '장은연', '서은아']","['Jero YUN', 'JANG Eun-youn', 'SEO Eun-ah']","['예수정', '김희찬', '이태규', '홍승일', '엄지성', '박사랑', '고규필', '이재균', '손병욱']","['YE Soo-jung', 'KIM Hee-chan', 'LEE Tae-gyu', 'HONG Seung-il', '', 'PARK Sa-rang', 'KO Gyu-pil', 'LEE Jae-kyoon', 'SON Byung-wook']","['', '', '', '', '', '', '우영 부', '큰 우영', '최중사']","['', '', '', '', '', '', '', '', '']",['12세이상관람가']
20163020,시선 사이,If You Were Me,95,2016,20160609,['한국'],['드라마'],"['최익환', '이광국']","['Equan CHOE', 'LEE Kwang-kuk']","['정예녹', '김동완', '오광록', '박주희', '서영화', '윤영민', '정지훈', '최희서', '백수장', '김대곤']","['JEONG Ye-nok', 'KIM Dong-wan', 'OH Gwang-rok', 'PARK Ju-hee', 'SEO Young-hwa', 'YOON Young-min', 'JEONG Ji-hoon', 'CHOI Hee-seo', 'PAIK Soo-jang', 'KIM Dae-gon']","['민영', '', '', '', '', '', '어린 우민', '희서', '주인집 아들', '체육선생']","['', '', '', '', '', '', '', '', '', '']",['12세이상관람가']
